"ID","P.Value","t","logFC","Gene.symbol","Gene.title","Gene.ID"
"211429_s_at",3.6e-13,-17.172271,-3.87946102,"SERPINA1","serpin family A member 1","5265"
"203256_at",4.25e-13,-17.0174008,-2.67676528,"CDH3","cadherin 3","1001"
"201666_at",1.37e-12,-15.9539211,-2.33294056,"TIMP1","TIMP metallopeptidase inhibitor 1","7076"
"205728_at",6.33e-12,-14.6478226,-3.76649349,"TENM1","teneurin transmembrane protein 1","10178"
"212850_s_at",7.92e-12,-14.4639744,-3.37874357,"LRP4","LDL receptor related protein 4","4038"
"202833_s_at",1.36e-11,-14.0309969,-3.89743647,"SERPINA1","serpin family A member 1","5265"
"213241_at",2.03e-11,-13.7139204,-2.36477064,"PLXNC1","plexin C1","10154"
"209360_s_at",3.84e-11,-13.2257005,-1.83556644,"LOC101928269///LOC100506403///RUNX1","uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1","101928269///100506403///861"
"205174_s_at",5.5e-11,-12.9576103,-2.87497648,"QPCT","glutaminyl-peptide cyclotransferase","25797"
"226961_at",1.21e-10,-12.3803614,-3.92818489,"PRR15","proline rich 15","222171"
"232231_at",1.65e-10,-12.1612723,-2.54098957,"RUNX2","runt related transcription factor 2","860"
"227618_at",5.34e-10,-11.3530255,-1.77201566,"NHSL2","NHS like 2","340527"
"207691_x_at",5.56e-10,-11.3251694,-2.28327098,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"230518_at",5.72e-10,-11.3068107,-1.39399184,"MPZL2","myelin protein zero like 2","10205"
"207144_s_at",6.13e-10,-11.2600831,-3.84601278,"CITED1","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1","4435"
"211564_s_at",6.15e-10,-11.2575581,-3.40824858,"PDLIM4","PDZ and LIM domain 4","8572"
"214175_x_at",7.05e-10,-11.1669079,-2.68180554,"PDLIM4","PDZ and LIM domain 4","8572"
"228585_at",7.98e-10,-11.0855142,-3.01790961,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"202638_s_at",8.38e-10,-11.0535388,-2.29166566,"ICAM1","intercellular adhesion molecule 1","3383"
"229584_at",9.32e-10,-10.9834309,-3.04284542,"LRRK2","leucine rich repeat kinase 2","120892"
"224929_at",9.49e-10,-10.9720659,-1.42883057,"TMEM173","transmembrane protein 173","340061"
"244825_at",1.08e-09,-10.8896414,-0.92635146,"SHROOM4","shroom family member 4","57477"
"218309_at",1.21e-09,-10.8133578,-2.45335877,"CAMK2N1","calcium/calmodulin dependent protein kinase II inhibitor 1","55450"
"203717_at",1.44e-09,-10.7019485,-3.39943075,"DPP4","dipeptidyl peptidase 4","1803"
"204124_at",1.53e-09,-10.6644216,-3.55731585,"SLC34A2","solute carrier family 34 member 2","10568"
"244788_at",1.79e-09,-10.5637398,-0.97287933,"","",""
"202295_s_at",1.96e-09,-10.5066343,-1.99997113,"CTSH","cathepsin H","1512"
"209474_s_at",2.04e-09,-10.4806143,-2.34932687,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"209395_at",2.32e-09,-10.3984602,-4.62937254,"CHI3L1","chitinase 3 like 1","1116"
"206765_at",2.37e-09,-10.3866754,-2.51958374,"KCNJ2","potassium voltage-gated channel subfamily J member 2","3759"
"212611_at",2.68e-09,-10.3087998,-2.22473494,"DTX4","deltex E3 ubiquitin ligase 4","23220"
"222549_at",2.73e-09,-10.2973217,-3.71172118,"CLDN1","claudin 1","9076"
"231950_at",2.75e-09,10.2913782,1.34066872,"ZNF658","zinc finger protein 658","26149"
"200701_at",2.93e-09,-10.2537097,-1.12165186,"NPC2","NPC intracellular cholesterol transporter 2","10577"
"208949_s_at",3.08e-09,-10.2209294,-1.78206636,"LGALS3","lectin, galactoside binding soluble 3","3958"
"205713_s_at",3.15e-09,-10.2073083,-3.37091182,"COMP","cartilage oligomeric matrix protein","1311"
"212895_s_at",3.32e-09,-10.1757128,-1.17094634,"ABR","active BCR-related","29"
"211478_s_at",3.48e-09,-10.1470468,-3.47269624,"DPP4","dipeptidyl peptidase 4","1803"
"226034_at",3.59e-09,-10.1274513,-1.87770656,"DUSP4","dual specificity phosphatase 4","1846"
"227055_at",3.99e-09,-10.062374,-2.26065846,"METTL7B","methyltransferase like 7B","196410"
"208025_s_at",4.15e-09,-10.0374323,-3.23943693,"HMGA2","high mobility group AT-hook 2","8091"
"209473_at",4.56e-09,-9.979926,-1.87694925,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"205325_at",4.62e-09,-9.9722689,-1.18749884,"PHYHIP","phytanoyl-CoA 2-hydroxylase interacting protein","9796"
"219257_s_at",4.64e-09,-9.969982,-0.90074001,"SPHK1","sphingosine kinase 1","8877"
"205954_at",4.84e-09,-9.9441459,-3.04423459,"RXRG","retinoid X receptor gamma","6258"
"204105_s_at",4.95e-09,-9.9306019,-1.96084176,"NRCAM","neuronal cell adhesion molecule","4897"
