ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
209228_x_at,1.33E-18,5.96E-23,-1.93E+01,41.679824,-3.69,TUSC3,tumor suppressor candidate 3,7991
214735_at,1.49E-18,1.34E-22,1.89E+01,40.917167,4.87,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
203510_at,2.50E-18,3.36E-22,-1.85E+01,40.044895,-3.1,MET,"MET proto-oncogene, receptor tyrosine kinase",4233
209470_s_at,3.61E-18,6.49E-22,1.81E+01,39.421961,3.32,GPM6A,glycoprotein M6A,2823
203256_at,3.66E-18,8.22E-22,-1.80E+01,39.197145,-4.78,CDH3,cadherin 3,1001
202528_at,7.30E-18,1.97E-21,-1.76E+01,38.367301,-3.48,GALE,UDP-galactose-4-epimerase,2582
210495_x_at,1.31E-17,4.11E-21,-1.73E+01,37.665556,-3.91,FN1,fibronectin 1,2335
216442_x_at,2.61E-17,9.37E-21,-1.69E+01,36.877655,-3.92,FN1,fibronectin 1,2335
202833_s_at,5.44E-17,2.20E-20,-1.65E+01,36.060526,-4.93,SERPINA1,serpin family A member 1,5265
212464_s_at,7.13E-17,3.20E-20,-1.64E+01,35.701098,-3.9,FN1,fibronectin 1,2335
211478_s_at,7.84E-17,3.87E-20,-1.63E+01,35.51888,-4.59,DPP4,dipeptidyl peptidase 4,1803
203716_s_at,1.36E-16,7.35E-20,-1.60E+01,34.902776,-4.95,DPP4,dipeptidyl peptidase 4,1803
211719_x_at,1.36E-16,7.95E-20,-1.60E+01,34.826336,-3.81,FN1,fibronectin 1,2335
203717_at,1.69E-16,1.06E-19,-1.59E+01,34.546996,-3.84,DPP4,dipeptidyl peptidase 4,1803
205413_at,2.66E-16,1.79E-19,1.56E+01,34.045262,5.04,MPPED2,metallophosphoesterase domain containing 2,744
213423_x_at,3.54E-16,2.55E-19,-1.55E+01,33.70622,-3.75,TUSC3,tumor suppressor candidate 3,7991
205016_at,4.79E-16,3.65E-19,-1.53E+01,33.357806,-3.83,TGFA,transforming growth factor alpha,7039
211429_s_at,5.60E-16,4.52E-19,-1.52E+01,33.151444,-4.31,SERPINA1,serpin family A member 1,5265
209270_at,5.93E-16,5.06E-19,-1.52E+01,33.043117,-4.46,LAMB3,laminin subunit beta 3,3914
206765_at,6.24E-16,5.60E-19,-1.52E+01,32.944551,-4.37,KCNJ2,potassium voltage-gated channel subfamily J member 2,3759
200701_at,6.84E-16,6.45E-19,-1.51E+01,32.808836,-1.64,NPC2,NPC intracellular cholesterol transporter 2,10577
205221_at,3.93E-15,3.88E-18,1.44E+01,31.071793,4.43,HGD,"homogentisate 1,2-dioxygenase",3081
219029_at,1.33E-14,1.37E-17,1.39E+01,29.847014,1.72,TMEM267,transmembrane protein 267,64417
209469_at,1.64E-14,1.77E-17,1.38E+01,29.597921,3.89,GPM6A,glycoprotein M6A,2823
218313_s_at,2.21E-14,2.48E-17,-1.37E+01,29.270382,-2.54,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,51809
222173_s_at,2.98E-14,3.54E-17,-1.35E+01,28.923394,-2.56,TBC1D2,TBC1 domain family member 2,55357
206884_s_at,2.98E-14,3.61E-17,-1.35E+01,28.903299,-3.81,SCEL,sciellin,8796
218182_s_at,3.83E-14,4.81E-17,-1.34E+01,28.623957,-4.05,CLDN1,claudin 1,9076
202701_at,8.78E-14,1.14E-16,-1.31E+01,27.781377,-1.51,BMP1,bone morphogenetic protein 1,649
203685_at,9.42E-14,1.27E-16,1.30E+01,27.679675,2.5,BCL2,"BCL2, apoptosis regulator",596
204623_at,1.01E-13,1.41E-16,1.30E+01,27.575155,6.23,TFF3,trefoil factor 3,7033
219877_at,1.18E-13,1.69E-16,1.29E+01,27.397052,2.96,ZMAT4,zinc finger matrin-type 4,79698
211599_x_at,1.22E-13,1.81E-16,-1.29E+01,27.330466,-3.26,MET,"MET proto-oncogene, receptor tyrosine kinase",4233
211564_s_at,1.25E-13,1.91E-16,-1.29E+01,27.281124,-4.47,PDLIM4,PDZ and LIM domain 4,8572
213807_x_at,1.53E-13,2.40E-16,-1.28E+01,27.057504,-2.86,MET,"MET proto-oncogene, receptor tyrosine kinase",4233
212850_s_at,1.58E-13,2.55E-16,-1.28E+01,26.999467,-5.32,LRP4,LDL receptor related protein 4,4038
220723_s_at,1.67E-13,2.78E-16,1.27E+01,26.913592,2.31,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
202119_s_at,2.38E-13,4.06E-16,1.26E+01,26.544344,1,CPNE3,copine 3,8895
203780_at,2.58E-13,4.51E-16,-1.26E+01,26.441194,-2.66,MPZL2,myelin protein zero like 2,10205
202733_at,4.52E-13,8.21E-16,-1.23E+01,25.855238,-1.91,LOC101927705///P4HA2,uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2,101927705///8974
202286_s_at,4.52E-13,8.36E-16,-1.23E+01,25.836824,-5.38,TACSTD2,tumor-associated calcium signal transducer 2,4070
218826_at,4.52E-13,8.52E-16,-1.23E+01,25.81917,-1.73,SLC35F2,solute carrier family 35 member F2,54733
221185_s_at,5.28E-13,1.02E-15,1.23E+01,25.643635,1.63,IQCG,IQ motif containing G,84223
208025_s_at,5.32E-13,1.05E-15,-1.23E+01,25.614582,-5.02,HMGA2,high mobility group AT-hook 2,8091
218309_at,5.42E-13,1.10E-15,-1.22E+01,25.564735,-3.25,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,55450
203779_s_at,5.42E-13,1.12E-15,-1.22E+01,25.55225,-1.94,MPZL2,myelin protein zero like 2,10205
205051_s_at,7.63E-13,1.61E-15,1.21E+01,25.196783,4.74,KIT,KIT proto-oncogene receptor tyrosine kinase,3815
218368_s_at,9.61E-13,2.07E-15,-1.20E+01,24.950107,-3.19,TNFRSF12A,TNF receptor superfamily member 12A,51330
218653_at,1.02E-12,2.29E-15,1.20E+01,24.850917,3.37,SLC25A15,solute carrier family 25 member 15,10166
204124_at,1.02E-12,2.29E-15,-1.20E+01,24.849854,-4.81,SLC34A2,solute carrier family 34 member 2,10568
203058_s_at,1.08E-12,2.46E-15,1.19E+01,24.780212,3.29,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
208161_s_at,1.11E-12,2.58E-15,-1.19E+01,24.734348,-2.95,ABCC3,ATP binding cassette subfamily C member 3,8714
214175_x_at,1.37E-12,3.26E-15,-1.18E+01,24.504413,-3.28,PDLIM4,PDZ and LIM domain 4,8572
205357_s_at,1.42E-12,3.43E-15,1.18E+01,24.453618,3.39,AGTR1,angiotensin II receptor type 1,185
209515_s_at,1.64E-12,4.04E-15,-1.18E+01,24.294848,-2.27,RAB27A,"RAB27A, member RAS oncogene family",5873
203908_at,1.70E-12,4.30E-15,1.18E+01,24.232856,4.88,SLC4A4,solute carrier family 4 member 4,8671
217127_at,1.70E-12,4.34E-15,1.17E+01,24.224986,2.34,CTH,cystathionine gamma-lyase,1491
209514_s_at,1.80E-12,4.71E-15,-1.17E+01,24.144871,-2.39,RAB27A,"RAB27A, member RAS oncogene family",5873
203222_s_at,1.80E-12,4.78E-15,1.17E+01,24.12992,1.97,TLE1,transducin like enhancer of split 1,7088
205481_at,2.08E-12,5.67E-15,-1.17E+01,23.962332,-3.16,ADORA1,adenosine A1 receptor,134
204917_s_at,2.08E-12,5.69E-15,1.17E+01,23.959334,1.83,MLLT3,"MLLT3, super elongation complex subunit",4300
205498_at,2.13E-12,5.94E-15,1.16E+01,23.916976,2.78,GHR,growth hormone receptor,2690
220204_s_at,2.19E-12,6.19E-15,1.16E+01,23.876698,3.25,BMP8A,bone morphogenetic protein 8a,353500
218573_at,2.60E-12,7.46E-15,1.16E+01,23.692792,9.63E-01,MAGEH1,MAGE family member H1,28986
219059_s_at,2.63E-12,7.68E-15,1.15E+01,23.66509,3.25,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
213188_s_at,2.74E-12,8.12E-15,1.15E+01,23.609806,1.65,MINA,MYC induced nuclear antigen,84864
202180_s_at,3.33E-12,1.00E-14,-1.15E+01,23.403733,-1.78,MVP,major vault protein,9961
