"","ID","Gene.symbol"
"1","200068_s_at","CANX"
"2","200600_at","MSN"
"3","200701_at","NPC2"
"4","200766_at","CTSD"
"5","200884_at","CKB"
"6","200892_s_at","TRA2B"
"7","200893_at","TRA2B"
"8","200941_at","HSBP1"
"9","201022_s_at","DSTN"
"10","201034_at","ADD3"
"11","201059_at","CTTN"
"12","201212_at","LGMN"
"13","201222_s_at","RAD23B"
"14","201223_s_at","RAD23B"
"15","201416_at","SOX4"
"16","201418_s_at","SOX4"
"17","201425_at","ALDH2"
"18","201430_s_at","DPYSL3"
"19","201474_s_at","ITGA3"
"20","201487_at","CTSC"
"21","201540_at","FHL1"
"22","201588_at","TXNL1"
"23","201612_at","ALDH9A1"
"24","201650_at","KRT19"
"25","201700_at","CCND3"
"26","201842_s_at","EFEMP1"
"27","201843_s_at","EFEMP1"
"28","201876_at","PON2"
"29","201887_at","IL13RA1"
"30","201888_s_at","IL13RA1"
"31","201899_s_at","UBE2A"
"32","201926_s_at","CD55"
"33","202071_at","SDC4"
"34","202145_at","LY6E"
"35","202180_s_at","MVP"
"36","202193_at","LIMK2"
"37","202239_at","PARP4"
"38","202286_s_at","TACSTD2"
"39","202308_at","SREBF1"
"40","202310_s_at","COL1A1"
"41","202311_s_at","COL1A1"
"42","202336_s_at","PAM"
"43","202342_s_at","TRIM2"
"44","202350_s_at","LOC100506558///MATN2"
"45","202357_s_at","CFB"
"46","202421_at","IGSF3"
"47","202435_s_at","CYP1B1"
"48","202436_s_at","CYP1B1"
"49","202437_s_at","CYP1B1"
"50","202458_at","PRSS23"
"51","202528_at","GALE"
"52","202588_at","AK1"
"53","202609_at","EPS8"
"54","202677_at","RASA1"
"55","202701_at","BMP1"
"56","202709_at","FMOD"
"57","202724_s_at","FOXO1"
"58","202733_at","LOC101927705///P4HA2"
"59","202741_at","PRKACB"
"60","202744_at","SLC20A2"
"61","202746_at","ITM2A"
"62","202747_s_at","ITM2A"
"63","202788_at","MAPKAPK3"
"64","202797_at","SACM1L"
"65","202826_at","SPINT1"
"66","202833_s_at","SERPINA1"
"67","202883_s_at","PPP2R1B"
"68","202908_at","WFS1"
"69","202920_at","ANK2"
"70","203001_s_at","STMN2"
"71","203021_at","SLPI"
"72","203058_s_at","PAPSS2"
"73","203059_s_at","PAPSS2"
"74","203060_s_at","PAPSS2"
"75","203097_s_at","RAPGEF2"
"76","203126_at","IMPA2"
"77","203178_at","GATM"
"78","203180_at","ALDH1A3"
"79","203217_s_at","ST3GAL5"
"80","203221_at","TLE1"
"81","203230_at","DVL1"
"82","203240_at","FCGBP"
"83","203256_at","CDH3"
"84","203279_at","EDEM1"
"85","203287_at","LAD1"
"86","203339_at","SLC25A12"
"87","203349_s_at","ETV5"
"88","203355_s_at","PSD3"
"89","203386_at","TBC1D4"
"90","203387_s_at","TBC1D4"
"91","203409_at","DDB2"
"92","203474_at","IQGAP2"
"93","203501_at","CPQ"
"94","203510_at","MET"
"95","203549_s_at","LPL"
"96","203571_s_at","ADIRF"
"97","203579_s_at","SLC7A6"
"98","203629_s_at","COG5"
"99","203632_s_at","GPRC5B"
"100","203636_at","MID1"
"101","203638_s_at","FGFR2"
"102","203640_at","MBNL2"
"103","203673_at","TG"
"104","203685_at","BCL2"
"105","203710_at","ITPR1"
"106","203714_s_at","TBCE"
"107","203715_at","TBCE"
"108","203716_s_at","DPP4"
"109","203717_at","DPP4"
"110","203766_s_at","LMOD1"
"111","203779_s_at","MPZL2"
"112","203780_at","MPZL2"
"113","203786_s_at","TPD52L1"
"114","203799_at","LY75-CD302///CD302///LY75"
"115","203854_at","CFI"
"116","203908_at","SLC4A4"
"117","203911_at","RAP1GAP"
"118","203939_at","NT5E"
"119","203960_s_at","HSPB11"
"120","203980_at","FABP4"
"121","204014_at","DUSP4"
"122","204017_at","KDELR3"
"123","204018_x_at","HBA2///HBA1"
"124","204034_at","ETHE1"
"125","204040_at","RNF144A"
"126","204042_at","WASF3"
"127","204072_s_at","FRY"
"128","204084_s_at","CLN5"
"129","204105_s_at","NRCAM"
"130","204119_s_at","ADK"
"131","204124_at","SLC34A2"
"132","204130_at","HSD11B2"
"133","204165_at","WASF1"
"134","204170_s_at","CKS2"
"135","204225_at","HDAC4"
"136","204259_at","MMP7"
