Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0043235~receptor complex	14	5.34351145	2.57E-06	"225575_AT, 219643_AT, 205876_AT, 223582_AT, 207415_AT, 206488_S_AT, 230863_AT, 225571_AT, 210194_AT, 205498_AT, 209555_S_AT, 208228_S_AT, 227771_AT, 230425_AT, 228766_AT, 205051_S_AT, 206070_S_AT, 204932_AT, 205710_AT, 203638_S_AT, 235746_S_AT, 209822_S_AT, 214053_AT"	247	220	20624	5.313507545	7.17E-04	7.17E-04	6.94E-04
GOTERM_BP_DIRECT	GO:0060395~SMAD protein signal transduction	8	3.053435115	1.13E-05	"201466_S_AT, 205289_AT, 201465_S_AT, 228570_AT, 209189_AT, 227719_AT, 238692_AT, 209737_AT, 206159_AT, 220203_AT, 205290_S_AT"	230	65	19414	10.38876254	0.019223714	0.019410782	0.019264073
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	49	18.70229008	3.19E-05	"223075_S_AT, 203178_AT, 230863_AT, 216594_X_AT, 204018_X_AT, 216733_S_AT, 205710_AT, 209458_X_AT, 214433_S_AT, 223475_AT, 205876_AT, 201843_S_AT, 228108_AT, 211696_X_AT, 208454_S_AT, 211699_X_AT, 202554_S_AT, 214307_AT, 204042_AT, 222722_AT, 230964_AT, 230425_AT, 241470_X_AT, 239183_AT, 214414_X_AT, 217232_X_AT, 213664_AT, 204151_X_AT, 225575_AT, 229177_AT, 213558_AT, 203474_AT, 206529_X_AT, 229160_AT, 225571_AT, 235867_AT, 227771_AT, 224027_AT, 203908_AT, 205221_AT, 217127_AT, 203980_AT, 209687_AT, 221874_AT, 219054_AT, 226248_S_AT, 209469_AT, 209116_X_AT, 205382_S_AT, 230031_AT, 223582_AT, 203240_AT, 204304_S_AT, 217414_X_AT, 209470_S_AT, 205083_AT, 204918_S_AT, 227692_AT, 231773_AT, 212224_AT, 206517_AT, 204359_AT, 201842_S_AT, 219059_S_AT, 230782_AT, 213920_AT, 211745_X_AT"	247	2219	20624	1.84380388	0.008873108	0.004456283	0.004312532
GOTERM_BP_DIRECT	GO:0071276~cellular response to cadmium ion	6	2.290076336	7.00E-05	"201466_S_AT, 217546_AT, 201465_S_AT, 210524_X_AT, 204745_X_AT, 213629_X_AT, 206461_X_AT, 209189_AT, 217165_X_AT"	230	37	19414	13.68789659	0.113491258	0.060230037	0.05977481
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	92	35.11450382	7.12E-05	"219643_AT, 213411_AT, 204719_AT, 209555_S_AT, 208228_S_AT, 209737_AT, 228956_AT, 209325_S_AT, 204513_S_AT, 1554748_AT, 210473_S_AT, 206070_S_AT, 205710_AT, 235746_S_AT, 210342_S_AT, 209656_S_AT, 205357_S_AT, 205876_AT, 219619_AT, 227394_AT, 227874_AT, 210194_AT, 205498_AT, 214044_AT, 205290_S_AT, 230964_AT, 230425_AT, 209612_S_AT, 229168_AT, 223741_S_AT, 204932_AT, 207789_S_AT, 201540_AT, 226492_AT, 229313_AT, 213664_AT, 242979_AT, 211596_S_AT, 233720_AT, 202920_AT, 203474_AT, 210298_X_AT, 226228_AT, 206529_X_AT, 225424_AT, 225571_AT, 227529_S_AT, 227771_AT, 213308_AT, 203908_AT, 216944_S_AT, 244675_AT, 219054_AT, 210038_AT, 209822_S_AT, 204288_S_AT, 209469_AT, 226145_S_AT, 230031_AT, 229151_AT, 231240_AT, 204304_S_AT, 203699_S_AT, 209470_S_AT, 206488_S_AT, 231070_AT, 203710_AT, 227692_AT, 222717_AT, 205289_AT, 204686_AT, 219059_S_AT, 223513_AT, 214053_AT, 243681_AT, 1552827_S_AT, 230863_AT, 227830_AT, 214735_AT, 228766_AT, 225728_AT, 205051_S_AT, 203638_S_AT, 213258_AT, 228407_AT, 229178_AT, 206457_S_AT, 229831_AT, 236783_AT, 219077_S_AT, 227526_AT, 224325_AT, 227690_AT, 201465_S_AT, 229839_AT, 212843_AT, 225575_AT, 210471_S_AT, 238835_AT, 209613_S_AT, 240236_AT, 228973_AT, 210299_S_AT, 229201_AT, 239006_AT, 221874_AT, 222953_AT, 229073_AT, 226248_S_AT, 222885_AT, 203543_S_AT, 223582_AT, 201466_S_AT, 214745_AT, 207415_AT, 206517_AT, 1558815_AT, 1552826_AT, 228546_AT, 242680_AT, 210078_S_AT, 1560652_AT, 203700_S_AT, 204359_AT, 213307_AT, 206806_AT"	247	5333	20624	1.440430108	0.019662435	0.006619202	0.006405679
GOTERM_CC_DIRECT	GO:0009986~cell surface	21	8.015267176	1.21E-04	"203474_AT, 219181_AT, 209555_S_AT, 208228_S_AT, 228766_AT, 203908_AT, 203638_S_AT, 235746_S_AT, 210342_S_AT, 213258_AT, 228407_AT, 230031_AT, 223582_AT, 204304_S_AT, 207415_AT, 206488_S_AT, 228080_AT, 227394_AT, 210194_AT, 205498_AT, 204955_AT, 205290_S_AT, 229168_AT, 205289_AT, 229839_AT, 226492_AT, 212843_AT, 213664_AT"	247	654	20624	2.68112766	0.033174781	0.008433876	0.008161816
GOTERM_BP_DIRECT	GO:0007165~signal transduction	31	11.83206107	2.61E-04	"202920_AT, 203474_AT, 227529_S_AT, 203911_AT, 209737_AT, 227830_AT, 228502_AT, 224027_AT, 216944_S_AT, 205051_S_AT, 209687_AT, 219949_AT, 203126_AT, 219054_AT, 209822_S_AT, 213103_AT, 228407_AT, 219619_AT, 210764_S_AT, 229147_AT, 208399_S_AT, 203710_AT, 229778_AT, 222722_AT, 223422_S_AT, 228503_AT, 1560652_AT, 205350_AT, 227690_AT, 241470_X_AT, 204932_AT, 204686_AT, 214053_AT, 221030_S_AT, 205501_AT, 242979_AT"	230	1283	19414	2.039493036	0.361604984	0.119136217	0.118235769
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	7	2.671755725	2.77E-04	"230425_AT, 224027_AT, 204606_AT, 205051_S_AT, 209687_AT, 210038_AT, 205357_S_AT"	230	76	19414	7.774485126	0.37911593	0.119136217	0.118235769
GOTERM_BP_DIRECT	GO:0071248~cellular response to metal ion	4	1.526717557	4.25E-04	"217546_AT, 210524_X_AT, 204745_X_AT, 213629_X_AT, 206461_X_AT, 217165_X_AT"	230	13	19414	25.97190635	0.518242336	0.12683722	0.125878566
GOTERM_BP_DIRECT	GO:0015670~carbon dioxide transport	4	1.526717557	5.36E-04	"217414_X_AT, 226228_AT, 211696_X_AT, 211699_X_AT, 214414_X_AT, 209458_X_AT, 204018_X_AT, 217232_X_AT, 209116_X_AT, 211745_X_AT"	230	14	19414	24.11677019	0.602066413	0.12683722	0.125878566
